record_id,submission_date,case_type,priority,old_predicted_days,optimized_predicted_days,actual_days,compliance_flag,bias_risk_score
1,2023-04-13,Urgent,Low,397,25,18,0,0.09383035645657653
2,2024-03-11,Standard,Low,402,19,19,0,0.08007447783462386
3,2025-05-10,Urgent,Medium,412,22,396,0,0.022101098902189212
4,2023-09-28,Standard,Low,351,17,19,0,0.03326744277483319
5,2023-04-17,Standard,Medium,386,24,21,0,0.09149117780819514
6,2023-03-13,Standard,Low,395,16,22,0,0.053727959580782504
7,2024-12-01,Complex,Low,287,25,22,0,0.05563342866058799
8,2023-01-21,Urgent,Medium,441,5,33,0,0.06481444819513794
9,2024-09-06,Complex,Medium,408,28,373,0,0.07621638179077982
10,2023-05-02,Standard,High,413,18,34,0,0.093928554566433
11,2024-04-11,Complex,Medium,374,19,382,0,0.08022250734700251
12,2023-08-03,Standard,Medium,429,30,28,0,0.09345491984640214
13,2023-11-27,Complex,Low,358,25,455,0,0.08206097581522359
14,2024-04-03,Standard,Low,366,28,28,0,0.004643406061466637
15,2023-03-29,Standard,Low,431,18,19,0,0.011753462053694198
16,2024-01-08,Standard,Medium,417,28,17,1,0.0884892925646334
17,2023-04-10,Complex,Medium,336,23,36,0,0.0027696449045257034
18,2025-05-21,Standard,Low,478,24,33,0,0.07941746488199307
19,2024-10-25,Complex,Medium,362,31,18,0,0.08498437319035124
20,2023-05-11,Standard,Medium,393,18,27,0,0.04154645620824524
21,2024-10-23,Complex,Low,487,28,359,0,0.03548547528232198
22,2023-11-05,Complex,Low,297,25,27,1,0.019440421911804964
23,2025-02-08,Complex,Medium,314,22,392,0,0.0048918871662362974
24,2023-12-10,Standard,Medium,422,18,34,1,0.07453829563109936
25,2024-05-06,Standard,Medium,276,22,27,0,0.007372708444738663
26,2024-02-18,Standard,Low,297,19,19,0,0.09446696280089209
27,2025-03-16,Complex,High,458,29,22,0,0.029674346277506192
28,2024-01-21,Standard,Low,379,24,18,0,0.07942443175942318
29,2023-07-11,Standard,Low,509,20,23,0,0.00596826510368107
30,2025-08-13,Standard,High,348,16,23,0,0.0536278684651872
31,2023-10-04,Standard,Low,384,21,27,0,0.0349099537090549
32,2023-06-10,Complex,Medium,427,30,27,0,0.003000110517813681
